CustomerID,Total Revenue,Total Orders,Avg Order Value,Customer Segment,Customer Type
12346,77183.60,1,77183.60,High,One-Time
12347,4310.00,7,615.71,Low,Repeat
12348,1797.24,4,449.31,Low,Repeat
12349,1757.55,1,1757.55,Low,One-Time
12350,334.40,1,334.40,Low,One-Time
12352,2506.04,8,313.26,Low,Repeat
12353,89.00,1,89.00,Low,One-Time
12354,1079.40,1,1079.40,Low,One-Time
12355,459.40,1,459.40,Low,One-Time
12356,2811.43,3,937.14,Low,Repeat
12357,6207.67,1,6207.67,Mid,One-Time
12358,1168.06,2,584.03,Low,Repeat
12359,6372.58,4,1593.15,Mid,Repeat
12360,2662.06,3,887.35,Low,Repeat
12361,189.90,1,189.90,Low,One-Time
12362,5226.23,10,522.62,Mid,Repeat
12363,552.00,2,276.00,Low,Repeat
12364,1313.10,4,328.28,Low,Repeat
12365,641.38,2,320.69,Low,Repeat
12367,168.90,1,168.90,Low,One-Time
12370,3545.69,4,886.42,Low,Repeat
12371,1887.96,2,943.98,Low,Repeat
12372,1298.04,3,432.68,Low,Repeat
12373,364.60,1,364.60,Low,One-Time
12374,742.93,1,742.93,Low,One-Time
12375,457.50,2,228.75,Low,Repeat
12377,1628.12,2,814.06,Low,Repeat
12378,4008.62,1,4008.62,Low,One-Time
12379,852.24,2,426.12,Low,Repeat
12380,2724.81,4,681.20,Low,Repeat
12381,1845.31,5,369.06,Low,Repeat
12383,1850.56,5,370.11,Low,Repeat
12384,585.27,2,292.64,Low,Repeat
12386,401.90,2,200.95,Low,Repeat
12388,2780.66,6,463.44,Low,Repeat
12390,549.84,1,549.84,Low,One-Time
12391,460.89,1,460.89,Low,One-Time
12393,1582.60,4,395.65,Low,Repeat
12394,1272.48,2,636.24,Low,Repeat
12395,3018.63,12,251.55,Low,Repeat
12397,2409.90,2,1204.95,Low,Repeat
12398,1635.66,1,1635.66,Low,One-Time
12399,1108.65,4,277.16,Low,Repeat
12401,84.30,1,84.30,Low,One-Time
12402,225.60,1,225.60,Low,One-Time
12403,427.70,1,427.70,Low,One-Time
12405,1710.39,1,1710.39,Low,One-Time
12406,3415.30,2,1707.65,Low,Repeat
12407,1708.12,5,341.62,Low,Repeat
12408,2888.55,5,577.71,Low,Repeat
12409,11072.67,3,3690.89,High,Repeat
12410,693.33,2,346.67,Low,Repeat
12412,1226.88,3,408.96,Low,Repeat
12413,758.10,3,252.70,Low,Repeat
12414,562.41,3,187.47,Low,Repeat
12415,124914.53,21,5948.31,High,Repeat
12417,3649.10,9,405.46,Low,Repeat
12418,668.58,1,668.58,Low,One-Time
12420,600.39,1,600.39,Low,One-Time
12421,807.04,4,201.76,Low,Repeat
12422,803.56,3,267.85,Low,Repeat
12423,1859.31,8,232.41,Low,Repeat
12424,1760.96,2,880.48,Low,Repeat
12425,777.20,1,777.20,Low,One-Time
12426,582.73,1,582.73,Low,One-Time
12427,825.80,3,275.27,Low,Repeat
12428,7956.46,9,884.05,Mid,Repeat
12429,3750.40,4,937.60,Low,Repeat
12430,256.40,1,256.40,Low,One-Time
12431,6487.45,15,432.50,Mid,Repeat
12432,5059.32,5,1011.86,Mid,Repeat
12433,13375.87,7,1910.84,High,Repeat
12434,806.14,2,403.07,Low,Repeat
12435,7829.89,2,3914.95,Mid,Repeat
12436,509.01,1,509.01,Low,One-Time
12437,4951.41,18,275.08,Low,Repeat
12438,2906.85,2,1453.43,Low,Repeat
12441,173.55,1,173.55,Low,One-Time
12442,172.06,1,172.06,Low,One-Time
12444,5005.46,5,1001.09,Mid,Repeat
12445,133.40,1,133.40,Low,One-Time
12446,1002.31,1,1002.31,Low,One-Time
12447,476.49,1,476.49,Low,One-Time
12448,449.45,1,449.45,Low,One-Time
12449,4067.29,4,1016.82,Low,Repeat
12450,197.88,2,98.94,Low,Repeat
12451,9035.52,5,1807.10,Mid,Repeat
12452,430.57,2,215.29,Low,Repeat
12453,707.09,1,707.09,Low,One-Time
12454,3528.34,1,3528.34,Low,One-Time
12455,2466.86,6,411.14,Low,Repeat
12456,3181.04,3,1060.35,Low,Repeat
12457,2363.23,7,337.60,Low,Repeat
12458,947.40,2,473.70,Low,Repeat
12461,826.88,2,413.44,Low,Repeat
12462,1189.59,2,594.80,Low,Repeat
12463,1344.78,4,336.20,Low,Repeat
12464,1212.05,8,151.51,Low,Repeat
12465,742.19,2,371.10,Low,Repeat
12468,729.54,2,364.77,Low,Repeat
12471,19824.05,30,660.80,High,Repeat
12472,6572.11,7,938.87,Mid,Repeat
12473,3938.55,5,787.71,Low,Repeat
12474,7375.79,18,409.77,Mid,Repeat
12475,723.38,1,723.38,Low,One-Time
12476,6816.42,11,619.67,Mid,Repeat
12477,13219.74,6,2203.29,High,Repeat
12478,680.99,1,680.99,Low,One-Time
12479,527.20,1,527.20,Low,One-Time
12480,3281.63,4,820.41,Low,Repeat
12481,5596.32,10,559.63,Mid,Repeat
12483,2484.98,8,310.62,Low,Repeat
12484,4541.72,6,756.95,Low,Repeat
12488,1298.66,3,432.89,Low,Repeat
12489,334.93,1,334.93,Low,One-Time
12490,5417.93,10,541.79,Mid,Repeat
12491,460.40,1,460.40,Low,One-Time
12492,263.21,2,131.61,Low,Repeat
12493,433.74,2,216.87,Low,Repeat
12494,1246.10,7,178.01,Low,Repeat
12497,1043.10,1,1043.10,Low,One-Time
12498,403.70,3,134.57,Low,Repeat
12500,4257.82,11,387.07,Low,Repeat
12501,2169.39,1,2169.39,Low,One-Time
12502,3723.87,5,744.77,Low,Repeat
12504,482.05,2,241.03,Low,Repeat
12506,73.50,1,73.50,Low,One-Time
12507,1304.81,3,434.94,Low,Repeat
12508,398.27,2,199.14,Low,Repeat
12509,176.50,1,176.50,Low,One-Time
12510,982.57,2,491.29,Low,Repeat
12512,138.03,2,69.02,Low,Repeat
12513,612.29,1,612.29,Low,One-Time
12514,1017.68,1,1017.68,Low,One-Time
12515,383.70,1,383.70,Low,One-Time
12516,1312.06,2,656.03,Low,Repeat
12517,2502.84,5,500.57,Low,Repeat
12518,2056.89,5,411.38,Low,Repeat
12519,340.84,1,340.84,Low,One-Time
12520,2634.26,5,526.85,Low,Repeat
12521,599.68,1,599.68,Low,One-Time
12522,192.72,2,96.36,Low,Repeat
12523,1789.77,11,162.71,Low,Repeat
12524,4485.72,8,560.72,Low,Repeat
12526,1316.66,3,438.89,Low,Repeat
12527,348.71,3,116.24,Low,Repeat
12528,1933.48,6,322.25,Low,Repeat
12530,1662.28,4,415.57,Low,Repeat
12531,125.22,1,125.22,Low,One-Time
12532,349.83,1,349.83,Low,One-Time
12534,1089.18,1,1089.18,Low,One-Time
12535,716.35,2,358.18,Low,Repeat
12536,12601.83,3,4200.61,High,Repeat
12538,363.95,1,363.95,Low,One-Time
12539,5568.35,4,1392.09,Mid,Repeat
12540,13400.24,17,788.25,High,Repeat
12541,981.18,3,327.06,Low,Repeat
12544,372.70,1,372.70,Low,One-Time
12545,1000.39,2,500.20,Low,Repeat
12546,1161.50,2,580.75,Low,Repeat
12547,207.80,2,103.90,Low,Repeat
12548,95.20,1,95.20,Low,One-Time
12550,964.83,1,964.83,Low,One-Time
12551,168.00,1,168.00,Low,One-Time
12552,437.82,2,218.91,Low,Repeat
12553,3692.28,10,369.23,Low,Repeat
12556,603.71,2,301.86,Low,Repeat
12557,11990.96,5,2398.19,High,Repeat
12558,269.96,1,269.96,Low,One-Time
12559,561.71,2,280.86,Low,Repeat
12560,2134.01,3,711.34,Low,Repeat
12561,238.85,1,238.85,Low,One-Time
12562,3781.74,7,540.25,Low,Repeat
12564,456.90,1,456.90,Low,One-Time
12565,145.92,1,145.92,Low,One-Time
12566,351.65,1,351.65,Low,One-Time
12567,9401.28,10,940.13,Mid,Repeat
12569,4124.69,32,128.90,Low,Repeat
12571,519.61,2,259.81,Low,Repeat
12572,1020.42,2,510.21,Low,Repeat
12573,160.54,1,160.54,Low,One-Time
12574,218.45,1,218.45,Low,One-Time
12576,1315.83,5,263.17,Low,Repeat
12577,657.80,3,219.27,Low,Repeat
12578,2794.51,2,1397.26,Low,Repeat
12579,440.42,1,440.42,Low,One-Time
12580,415.70,1,415.70,Low,One-Time
12581,197.71,1,197.71,Low,One-Time
12582,511.36,2,255.68,Low,Repeat
12583,7281.38,15,485.43,Mid,Repeat
12584,2338.15,9,259.79,Low,Repeat
12585,2040.10,2,1020.05,Low,Repeat
12586,196.94,1,196.94,Low,One-Time
12587,144.00,1,144.00,Low,One-Time
12588,214.90,1,214.90,Low,One-Time
12589,646.68,2,323.34,Low,Repeat
12590,9864.26,2,4932.13,Mid,Repeat
12591,452.85,1,452.85,Low,One-Time
12592,437.60,2,218.80,Low,Repeat
12593,418.10,3,139.37,Low,Repeat
12594,3338.22,10,333.82,Low,Repeat
12596,618.27,2,309.14,Low,Repeat
12597,3811.22,4,952.81,Low,Repeat
12598,3023.08,8,377.89,Low,Repeat
12599,1032.58,7,147.51,Low,Repeat
12600,2599.04,10,259.90,Low,Repeat
12601,577.06,5,115.41,Low,Repeat
12602,153.12,1,153.12,Low,One-Time
12603,739.20,1,739.20,Low,One-Time
12604,254.18,2,127.09,Low,Repeat
12607,1579.51,1,1579.51,Low,One-Time
12609,1126.85,3,375.62,Low,Repeat
12610,2099.54,5,419.91,Low,Repeat
12611,1193.32,1,1193.32,Low,One-Time
12612,704.04,1,704.04,Low,One-Time
12613,3344.38,5,668.88,Low,Repeat
12614,315.60,1,315.60,Low,One-Time
12615,2291.19,4,572.80,Low,Repeat
12616,713.30,2,356.65,Low,Repeat
12617,355.53,1,355.53,Low,One-Time
12618,177.31,1,177.31,Low,One-Time
12619,3641.24,9,404.58,Low,Repeat
12620,1339.41,3,446.47,Low,Repeat
12621,13689.67,20,684.48,High,Repeat
12622,180.10,1,180.10,Low,One-Time
12623,305.10,1,305.10,Low,One-Time
12624,641.13,2,320.57,Low,Repeat
12625,2683.82,2,1341.91,Low,Repeat
12626,6620.48,9,735.61,Mid,Repeat
12627,4478.53,7,639.79,Low,Repeat
12628,786.46,3,262.15,Low,Repeat
12630,1270.88,2,635.44,Low,Repeat
12631,640.50,1,640.50,Low,One-Time
12633,2163.98,4,541.00,Low,Repeat
12635,1689.18,2,844.59,Low,Repeat
12637,6021.90,8,752.74,Mid,Repeat
12638,671.69,1,671.69,Low,One-Time
12639,486.10,1,486.10,Low,One-Time
12640,1174.58,3,391.53,Low,Repeat
12641,185.90,1,185.90,Low,One-Time
12642,1013.26,3,337.75,Low,Repeat
12643,3344.64,6,557.44,Low,Repeat
12644,477.91,1,477.91,Low,One-Time
12645,1775.18,4,443.80,Low,Repeat
12646,1346.97,2,673.49,Low,Repeat
12647,3722.82,12,310.24,Low,Repeat
12648,318.05,1,318.05,Low,One-Time
12649,623.51,3,207.84,Low,Repeat
12650,314.44,1,314.44,Low,One-Time
12651,114.00,1,114.00,Low,One-Time
12652,919.98,1,919.98,Low,One-Time
12653,2209.85,2,1104.93,Low,Repeat
12654,601.98,5,120.40,Low,Repeat
12656,4051.17,5,810.23,Low,Repeat
12657,1643.18,4,410.80,Low,Repeat
12658,686.05,1,686.05,Low,One-Time
12659,91.68,1,91.68,Low,One-Time
12660,245.10,1,245.10,Low,One-Time
12662,3849.78,11,349.98,Low,Repeat
12664,4881.88,9,542.43,Low,Repeat
12665,63.00,1,63.00,Low,One-Time
12667,620.13,1,620.13,Low,One-Time
12668,3807.15,4,951.79,Low,Repeat
12669,2744.03,3,914.68,Low,Repeat
12670,2996.05,5,599.21,Low,Repeat
12672,225.90,1,225.90,Low,One-Time
12673,610.52,2,305.26,Low,Repeat
12674,1970.60,4,492.65,Low,Repeat
12676,1331.39,6,221.90,Low,Repeat
12678,17628.46,12,1469.04,High,Repeat
12679,1113.02,4,278.26,Low,Repeat
12680,862.81,4,215.70,Low,Repeat
12681,13787.54,22,626.71,High,Repeat
12682,12288.22,31,396.39,High,Repeat
12683,8476.57,15,565.10,Mid,Repeat
12684,2283.63,7,326.23,Low,Repeat
12685,2863.08,6,477.18,Low,Repeat
12686,89.14,1,89.14,Low,One-Time
12688,4873.81,1,4873.81,Low,One-Time
12689,1247.61,2,623.81,Low,Repeat
12690,389.01,1,389.01,Low,One-Time
12691,1035.80,6,172.63,Low,Repeat
12693,855.91,4,213.98,Low,Repeat
12694,869.67,2,434.84,Low,Repeat
12695,582.10,4,145.53,Low,Repeat
12697,957.59,3,319.20,Low,Repeat
12700,4939.99,4,1235.00,Low,Repeat
12701,797.71,2,398.86,Low,Repeat
12702,219.00,1,219.00,Low,One-Time
12703,283.55,1,283.55,Low,One-Time
12704,2340.84,8,292.61,Low,Repeat
12705,6868.29,9,763.14,Mid,Repeat
12707,603.42,1,603.42,Low,One-Time
12708,2712.91,10,271.29,Low,Repeat
12709,9736.52,15,649.10,Mid,Repeat
12710,1149.02,3,383.01,Low,Repeat
12712,4396.13,13,338.16,Low,Repeat
12713,848.55,1,848.55,Low,One-Time
12714,4708.86,5,941.77,Low,Repeat
12715,353.86,1,353.86,Low,One-Time
12716,1053.49,2,526.75,Low,Repeat
12717,1030.98,2,515.49,Low,Repeat
12718,238.25,1,238.25,Low,One-Time
12719,644.95,2,322.48,Low,Repeat
12720,5781.73,25,231.27,Mid,Repeat
12721,2656.13,6,442.69,Low,Repeat
12722,997.63,4,249.41,Low,Repeat
12723,725.07,5,145.01,Low,Repeat
12724,1031.41,4,257.85,Low,Repeat
12725,427.80,1,427.80,Low,One-Time
12726,2609.10,7,372.73,Low,Repeat
12727,3980.70,7,568.67,Low,Repeat
12728,836.33,4,209.08,Low,Repeat
12729,453.01,1,453.01,Low,One-Time
12731,18895.91,12,1574.66,High,Repeat
12732,236.26,1,236.26,Low,One-Time
12733,383.95,1,383.95,Low,One-Time
12734,110.40,1,110.40,Low,One-Time
12735,779.57,2,389.79,Low,Repeat
12736,234.00,1,234.00,Low,One-Time
12738,155.35,1,155.35,Low,One-Time
12739,1013.04,2,506.52,Low,Repeat
12740,427.60,1,427.60,Low,One-Time
12743,546.43,2,273.22,Low,Repeat
12744,21279.29,7,3039.90,High,Repeat
12747,4196.01,11,381.46,Low,Repeat
12748,33719.73,210,160.57,High,Repeat
12749,4090.88,5,818.18,Low,Repeat
12750,275.88,1,275.88,Low,One-Time
12752,4366.78,1,4366.78,Low,One-Time
12753,21429.39,6,3571.57,High,Repeat
